ID,RI,Na,Mg,Al,Si,K,Ca,Class
1,1.52369,13.44,0,1.58,72.22,0.32,12.24,Containers
2,1.51915,12.73,1.85,1.86,72.69,0.6,10.09,Containers
3,1.51508,15.15,0,2.25,73.5,0,8.34,headlamps
4,1.52171,11.56,1.88,1.56,72.86,0.47,11.41,Containers
5,1.51556,13.87,0,2.54,73.23,0.14,9.41,headlamps
6,1.51301,14.46,1.77,1.52,74.62,0,9.25,Tableware
7,1.51832,13.33,3.34,1.54,72.14,0.56,8.99,VehWin
8,1.51685,14.92,0,1.99,73.06,0,8.4,headlamps
9,1.51852,14.09,2.19,1.66,72.67,0,9.32,Tableware
10,1.51115,17.38,0,0.34,75.41,0,6.65,Tableware
11,1.51646,13.04,3.4,1.26,73.01,0.52,8.58,VehWin
12,1.51316,13.02,0,3.04,70.48,6.21,6.96,Containers
13,1.5161,13.42,3.4,1.22,72.69,0.59,8.32,VehWin
14,1.51683,14.56,0,1.98,73.29,0,8.52,headlamps
15,1.51937,13.79,2.41,1.19,72.76,0,9.77,Tableware
16,1.51653,11.95,0,1.19,75.18,0.35,8.93,headlamps
17,1.52177,13.75,1.01,1.36,72.19,0.33,11.14,BuildWin
18,1.51545,14.14,0,2.68,73.39,0.08,9.07,headlamps
19,1.51824,14.55,2.19,1.59,72.66,0,9.77,Tableware
20,1.51916,14.15,0,2.09,72.74,0,10.88,Tableware
21,1.52039,13.62,3.48,1.32,71.69,0.58,8.78,VehWin
22,1.52119,12.97,0.33,1.51,73.39,0.13,11.27,Containers
23,1.51789,14.63,2.31,1.57,72.75,0,9.26,Tableware
24,1.52758,11.49,0,1.91,72.69,0.26,13.18,BuildWin
25,1.52065,14.36,0,2.02,73.42,0,8.44,headlamps
26,1.52475,11.45,0,1.88,72.19,0.81,13.24,BuildWin
27,1.51321,13,0,3.02,70.7,6.21,6.9,Containers
28,1.51769,13.65,3.66,1.11,72.77,0.11,8.6,VehWin
29,1.51514,14.01,2.68,3.5,69.89,1.68,5.87,Containers
30,1.51651,14.38,0,1.94,73.61,0,8.48,headlamps
31,1.51355,14.47,2.45,1.68,73.24,0,9.33,Tableware
32,1.52664,11.23,0,0.77,73.21,0,14.68,BuildWin
33,1.51829,14.46,2.24,1.62,72.38,0,9.26,Tableware
34,1.51646,13.09,0,3.05,70.1,6.22,6.89,Containers
35,1.51994,13.27,0,1.76,73.03,0.47,11.32,Containers
36,1.51911,14.53,2.25,1.62,73.12,0,9.54,Tableware
37,1.53393,12.3,0,1,70.16,0.12,16.19,BuildWin
38,1.51935,13.58,3.71,1.28,72.35,0.61,8.63,VehWin
39,1.5241,13.83,2.9,1.17,71.15,0.08,10.79,BuildWin
40,1.51645,14.94,0,1.87,73.11,0,8.67,headlamps
41,1.5232,13.72,3.72,0.51,71.75,0.09,10.06,BuildWin
42,1.52223,13.21,3.77,0.79,71.99,0.13,10.02,BuildWin
43,1.51888,14.99,0.78,1.74,72.5,0,9.95,Tableware
44,1.53125,10.73,0,2.1,69.81,0.58,13.3,BuildWin
45,1.51623,14.14,0,2.88,72.61,0.08,9.18,headlamps
46,1.51321,13,0,3.02,70.7,6.21,6.93,Containers
47,1.51623,14.2,0,2.79,73.46,0.04,9.04,headlamps
48,1.51934,13.64,3.54,0.75,72.65,0.16,8.89,VehWin
49,1.51643,12.16,3.52,1.35,72.89,0.57,8.53,VehWin
50,1.53269,12.23,0,2.05,71.55,0.82,13.33,BuildWin
51,1.51655,13.41,3.39,1.28,72.64,0.52,8.65,VehWin
52,1.51818,13.72,0,0.56,74.45,0,10.99,BuildWin
53,1.51514,14.85,0,2.42,73.72,0,8.39,headlamps
54,1.52725,13.8,3.15,0.66,70.57,0.08,11.64,BuildWin
55,1.51719,14.75,0,2,73.02,0,8.53,headlamps
56,1.51658,14.8,0,1.99,73.11,0,8.28,headlamps
57,1.52365,15.79,1.83,1.31,70.43,0.31,8.61,headlamps
58,1.5132,13.04,0,3.03,70.61,6.21,6.95,Containers
59,1.51877,14.44,2.19,1.64,73.51,0,9.88,Tableware
60,1.52614,13.7,0,1.36,71.24,0.19,13.44,BuildWin
61,1.51862,14.36,2.37,1.73,72.85,0,9.41,Tableware
62,1.51666,12.86,0,1.83,73.88,0.97,10.17,Containers
63,1.51789,13.41,3.68,1.35,71.85,0.52,8.99,VehWin
64,1.51711,14.23,0,2.08,73.36,0,8.62,headlamps
65,1.51796,13.5,3.36,1.63,71.94,0.57,8.81,VehWin
66,1.52315,13.44,3.34,1.23,72.38,0.6,8.83,headlamps
67,1.51788,12.97,0,3.1,70.32,6.17,7.02,Containers
68,1.51776,13.53,3.41,1.52,72.04,0.58,8.79,VehWin
69,1.51733,14.36,2.28,1.59,75.36,0,9.35,Tableware
70,1.5167,13.24,3.57,1.38,72.7,0.56,8.44,VehWin
71,1.51694,12.86,3.58,1.31,72.61,0.61,8.79,VehWin
72,1.51665,13.14,3.45,1.76,72.48,0.6,8.38,VehWin
73,1.51727,14.7,0,2.34,73.28,0,8.95,headlamps
74,1.5164,14.37,0,2.74,72.85,0,9.45,headlamps
75,1.51602,14.85,0,2.38,73.28,0,8.76,headlamps
76,1.51905,14,2.39,1.56,72.37,0,9.57,Tableware
77,1.51831,14.39,0,1.82,72.86,0.25,6.47,headlamps
78,1.52777,12.64,0,0.67,72.02,0.06,14.4,BuildWin
79,1.52121,14.03,3.76,0.58,71.79,0.11,9.65,VehWin
80,1.52058,12.85,1.61,2.17,72.18,0.76,9.7,Containers
81,1.51779,13.64,3.65,0.65,73,0.06,8.93,VehWin
82,1.53665,12.36,0,1.5,72.82,0.19,13.28,BuildWin
83,1.51836,14.28,2.22,1.62,72.69,0,9.48,Tableware
84,1.52211,14.19,3.78,0.91,71.36,0.23,9.14,VehWin
85,1.52739,11.02,0,0.75,73.08,0,14.96,BuildWin
86,1.52127,14.32,3.9,0.83,71.5,0,9.49,VehWin
87,1.523,13.31,3.58,0.82,71.99,0.12,10.17,BuildWin
88,1.51609,15.01,0,2.51,73.05,0.05,8.83,headlamps
89,1.52222,14.43,0,1,72.67,0.1,11.52,BuildWin
90,1.51655,12.99,0,3.06,69.99,6.23,6.94,Containers
91,1.52043,13.38,0,1.4,72.25,0.33,12.5,Containers
92,1.51969,12.64,0,1.65,73.75,0.38,11.53,Containers
93,1.51732,14.95,0,1.8,72.99,0,8.61,headlamps
94,1.52247,14.86,2.2,2.06,70.26,0.38,9.76,headlamps
95,1.51744,14.56,2.34,1.71,73.07,0,9.28,Tableware
96,1.52151,11.03,1.71,1.56,73.44,0.58,11.62,Containers
97,1.51924,14.45,2.36,1.84,72.57,0,9.36,Tableware
98,1.5161,13.33,3.53,1.34,72.67,0.56,8.33,VehWin
99,1.51861,14.25,2.15,1.58,72.79,0,9.67,Tableware
100,1.51531,14.38,0,2.66,73.1,0.04,9.08,headlamps
101,1.51613,13.88,1.78,1.79,73.1,0,8.67,headlamps
102,1.51617,14.95,0,2.27,73.3,0,8.71,headlamps
